"C:\Program Files\Java\jdk-12.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.4\lib\idea_rt.jar=59074:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.4\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\Keval\IdeaProjects\CollectionsProjectHomework\out\production\CollectionsProjectHomework com.company.CollectionsRunner
Part II:
Total words in War and Peace: 576150
Duration: 1109 millisecndonds
'almond' occured: 1
'almonds' occured: 1
'almost' occured: 156
'alms' occured: 4
'almshouse' occured: 1
'almshouses' occured: 1
'aloft' occured: 1
'alone' occured: 243
'along' occured: 227
'alongside' occured: 1
'aloof' occured: 4
'aloofness' occured: 2
'aloud' occured: 24
'alpatych' occured: 137
'alphabet' occured: 2
'alphonse' occured: 1
'already' occured: 326
'alsatian' occured: 2
'also' occured: 270
'altar' occured: 6
'altars' occured: 1
'alte' occured: 1
'alter' occured: 8
'alteration' occured: 1
'alterations' occured: 1
'altercation' occured: 1
'altered' occured: 20
'altering' occured: 3
'alternate' occured: 3
'alternated' occured: 1
'alternately' occured: 3
'alternating' occured: 1
'alternative' occured: 1
'although' occured: 11
'altogether' occured: 13
'always' occured: 464
'am' occured: 551
'amalek' occured: 2
'amant' occured: 1
'amants' occured: 1
'amazed' occured: 16
'amazement' occured: 9
'amazing' occured: 4
'amazingly' occured: 1
'amazon' occured: 1
'ambassador' occured: 16
'ambassadors' occured: 3
'amber' occured: 1
'ambition' occured: 6
'ambitious' occured: 2
'amble' occured: 1
'ambled' occured: 1
'ambler' occured: 1
'ambling' occured: 1
'ambulance' occured: 5
'ambuscade' occured: 1
'ambush' occured: 6
'ame' occured: 3
'amelie' occured: 3
'amen' occured: 1
'amene' occured: 1
'amenities' occured: 1
'america' occured: 1
'ami' occured: 3
'amiabilities' occured: 2
'amiability' occured: 3
'amiable' occured: 14
'amiably' occured: 8
'amicable' occured: 1
'amid' occured: 58
'amidst' occured: 1
'amie' occured: 2
'amiss' occured: 3
'ammunition' occured: 14
'among' occured: 216
'amongst' occured: 1
'amorous' occured: 3
'amount' occured: 6
'amounted' occured: 4
'amour' occured: 2
'amoureuse' occured: 1
'amphilochus' occured: 1
'amphitheater' occured: 2
'ample' occured: 2
'amputated' occured: 3
'amstetten' occured: 1
'amulet' occured: 1
'amuse' occured: 9
'amused' occured: 24
'amusement' occured: 7
'amusements' occured: 3
'amuses' occured: 2
'amusing' occured: 21
'amusingly' occured: 1
'an' occured: 1635
'analogy' occured: 1
'analysis' occured: 3
'analyze' occured: 3
'analyzing' occured: 2
'anarchy' occured: 1
'anathematized' occured: 1
'anatole' occured: 222
'ancestor' occured: 1
'ancestors' occured: 4
'ancestral' occured: 1
'ancient' occured: 21
'ancients' occured: 16
'and' occured: 22303
'andre' occured: 2
'andreevich' occured: 8
'andrew' occured: 1143
'andrusha' occured: 6
'andwew' occured: 1
'anecdote' occured: 4
'anecdotes' occured: 5
'anew' occured: 3
'anferovs' occured: 2
'angel' occured: 19
'angelic' occured: 2
'angelically' occured: 1
'angels' occured: 3
'anger' occured: 40
'angered' occured: 4
'angina' occured: 5
'anglaise' occured: 3
